confidence_score,setup_type_swing,setup_type_scalp,has_3_bar_pattern,has_pop_fade,has_dip_and_rip,has_mean_reversal,volume_spike,atr_ratio,trend_up,trend_down,rr_ratio,rsi,stoch,bb_distance,win
5,0,1,0,0,0,0,1,1.0,0,1,1.1796853149690365,24.532281016870172,5.714151448193093,0.08641758178423782,1
7,0,1,0,0,0,0,0,1.0,0,1,1.1226778229597423,21.43934605215223,4.125650316272942,0.04065222073439339,1
6,0,1,0,0,0,0,0,1.0,0,1,1.1143270309812232,21.43934605215223,4.125650316272942,0.04065222073439339,1
7,0,1,0,0,0,0,0,1.0,0,1,1.1023392905027782,21.43934605215223,4.125650316272942,0.04065222073439339,1
6,0,1,0,0,0,0,0,1.0,0,1,2.0,21.43934605215223,4.125650316272942,0.04065222073439339,1
8,0,1,0,0,0,0,0,1.0,0,1,2.0,21.43934605215223,4.125650316272942,0.04065222073439339,1
7,0,1,0,0,0,0,0,1.0,0,1,2.0,21.43934605215223,4.125650316272942,0.04065222073439339,1
6,0,1,0,0,0,0,0,1.0,0,1,2.0,21.43934605215223,4.125650316272942,0.04065222073439339,1
6,0,1,0,0,0,0,0,1.0,0,1,2.0,21.43934605215223,4.125650316272942,0.04065222073439339,1
4,0,1,0,0,0,0,0,1.0,0,1,2.0,21.43934605215223,4.125650316272942,0.04065222073439339,1
4,0,1,0,0,0,0,0,1.0,0,1,0.9414219375994639,21.43934605215223,4.125650316272942,0.04065222073439339,1
8,0,1,0,0,0,0,1,1.0,0,1,2.0,21.33670112308485,11.032725794825277,0.1133309883824572,1
6,0,1,0,0,0,0,1,1.0,0,1,2.0,21.33670112308485,11.032725794825277,0.1133309883824572,1
5,0,1,0,0,0,0,1,1.0,0,1,2.0,21.33670112308485,11.032725794825277,0.1133309883824572,1
5,0,1,0,0,0,0,1,1.0,0,1,2.0,21.33670112308485,11.032725794825277,0.1133309883824572,1
7,0,1,0,0,0,0,1,1.0,0,1,2.0,21.33670112308485,11.032725794825277,0.1133309883824572,1
5,0,1,0,0,0,0,1,1.0,0,1,2.0,21.33670112308485,11.032725794825277,0.1133309883824572,1
5,0,1,0,0,0,0,0,1.0,1,0,2.0,26.497792280101336,-1.9756868371599954,0.05585063383494899,1
